date	account	bipad	draws	sold
2014-01-06 00:00:00	1	90016	3.0	1.0
2014-01-13 00:00:00	1	90016	2.0	2.0
2014-01-20 00:00:00	1	90016	4.0	0.0
2014-01-27 00:00:00	1	90016	10.0	5.0
2014-01-07 00:00:00	1	90026	5.0	3.0
2014-01-14 00:00:00	1	90026	3.0	1.0
2014-01-21 00:00:00	1	90026	12.0	3.0
2014-01-28 00:00:00	1	90026	12.0	5.0
2014-01-01 00:00:00	1	90036	8.0	2.0
2014-01-08 00:00:00	1	90036	7.0	1.0
2014-01-15 00:00:00	1	90036	7.0	6.0
2014-01-22 00:00:00	1	90036	6.0	2.0
2014-01-29 00:00:00	1	90036	7.0	6.0
2014-01-02 00:00:00	1	90046	6.0	2.0
2014-01-09 00:00:00	1	90046	6.0	2.0
2014-01-16 00:00:00	1	90046	4.0	1.0
2014-01-23 00:00:00	1	90046	12.0	5.0
2014-01-30 00:00:00	1	90046	13.0	3.0
2014-01-03 00:00:00	1	90056	12.0	5.0
2014-01-10 00:00:00	1	90056	3.0	1.0
2014-01-17 00:00:00	1	90056	15.0	6.0
2014-01-24 00:00:00	1	90056	5.0	4.0
2014-01-31 00:00:00	1	90056	6.0	0.0
2014-01-04 00:00:00	1	90066	9.0	4.0
2014-01-11 00:00:00	1	90066	4.0	1.0
2014-01-18 00:00:00	1	90066	2.0	1.0
2014-01-25 00:00:00	1	90066	5.0	1.0
2014-01-05 00:00:00	1	90076	17.0	5.0
2014-01-12 00:00:00	1	90076	7.0	5.0
2014-01-19 00:00:00	1	90076	9.0	4.0
2014-01-26 00:00:00	1	90076	10.0	8.0
2014-02-03 00:00:00	1	90016	9.0	4.0
2014-02-10 00:00:00	1	90016	4.0	1.0
2014-02-17 00:00:00	1	90016	6.0	6.0
2014-02-24 00:00:00	1	90016	3.0	1.0
2014-02-04 00:00:00	1	90026	11.0	5.0
2014-02-11 00:00:00	1	90026	4.0	2.0
2014-02-18 00:00:00	1	90026	6.0	6.0
2014-02-25 00:00:00	1	90026	4.0	2.0
2014-02-05 00:00:00	1	90036	4.0	2.0
2014-02-12 00:00:00	1	90036	1.0	0.0
2014-02-19 00:00:00	1	90036	5.0	1.0
2014-02-26 00:00:00	1	90036	8.0	1.0
2014-02-06 00:00:00	1	90046	5.0	2.0
2014-02-13 00:00:00	1	90046	5.0	2.0
2014-02-20 00:00:00	1	90046	6.0	2.0
2014-02-27 00:00:00	1	90046	6.0	2.0
2014-02-07 00:00:00	1	90056	4.0	1.0
2014-02-14 00:00:00	1	90056	8.0	3.0
2014-02-21 00:00:00	1	90056	1.0	1.0
2014-02-28 00:00:00	1	90056	6.0	5.0
2014-02-01 00:00:00	1	90066	3.0	2.0
2014-02-08 00:00:00	1	90066	6.0	2.0
2014-02-15 00:00:00	1	90066	2.0	2.0
2014-02-22 00:00:00	1	90066	3.0	1.0
2014-02-02 00:00:00	1	90076	12.0	9.0
2014-02-09 00:00:00	1	90076	11.0	4.0
2014-02-16 00:00:00	1	90076	7.0	5.0
2014-02-23 00:00:00	1	90076	9.0	5.0
2014-03-03 00:00:00	1	90016	6.0	5.0
2014-03-10 00:00:00	1	90016	11.0	5.0
2014-03-17 00:00:00	1	90016	4.0	2.0
2014-03-24 00:00:00	1	90016	7.0	4.0
2014-03-31 00:00:00	1	90016	10.0	4.0
2014-03-04 00:00:00	1	90026	7.0	3.0
2014-03-11 00:00:00	1	90026	5.0	3.0
2014-03-18 00:00:00	1	90026	9.0	4.0
2014-03-25 00:00:00	1	90026	2.0	1.0
